audio,fold,MFCC,target
101415-3-0-2.wav,1,"[-421.2201843261719, 85.28880310058594, 28.294160842895508, 2.621643304824829, -13.181735038757324, 0.7228930592536926, 1.1512739658355713, -8.122461318969727, -9.273735046386719, -4.73956298828125, -7.198401927947998, -3.777961492538452, 2.0165936946868896]",dog_bark
101415-3-0-3.wav,1,"[-395.1141662597656, 116.3168716430664, 43.765785217285156, 4.355260372161865, -22.950523376464844, -2.2789759635925293, -0.7585896849632263, -16.064006805419922, -18.608299255371094, -13.992377281188965, -15.670114517211914, -6.071549415588379, 2.950594186782837]",dog_bark
101415-3-0-8.wav,1,"[-437.91595458984375, 66.94352722167969, 16.555070877075195, 5.233065605163574, -2.32975435256958, 5.860127925872803, 1.7281533479690552, -4.259747505187988, -3.8483798503875732, -0.7739874124526978, -1.6225568056106567, 0.18934060633182526, 4.770181655883789]",dog_bark
102106-3-0-0.wav,1,"[-537.6240844726562, 59.329261779785156, -18.453956604003906, 0.40018269419670105, -12.256880760192871, 6.895666122436523, -10.622503280639648, 7.134243488311768, -4.692759990692139, 3.1827785968780518, 2.56913423538208, 0.7462887167930603, 3.033911943435669]",dog_bark
102305-6-0-0.wav,1,"[-514.0081787109375, 94.9853744506836, 14.371119499206543, 22.656768798828125, -2.3119773864746094, 1.896572470664978, -3.193754196166992, 0.25201866030693054, 0.9810957312583923, 2.4054677486419678, 2.2800955772399902, 1.6754155158996582, -0.3727470934391022]",gun_shot
102842-3-0-1.wav,1,"[-419.7334289550781, 102.87503051757812, 33.7454948425293, 37.74030685424805, 12.706280708312988, 14.524516105651855, 5.266852378845215, 4.578006267547607, 0.037956029176712036, -1.2018165588378906, -3.9154212474823, -3.7422447204589844, -5.1527276039123535]",dog_bark
102842-3-1-0.wav,1,"[-404.5509033203125, 111.35552215576172, 24.866485595703125, 27.024213790893555, 5.655853748321533, 10.4024658203125, 3.1370797157287598, 2.113717794418335, -4.461923122406006, -4.8865556716918945, -3.6204278469085693, 0.17289423942565918, 0.07451552152633667]",dog_bark
102842-3-1-5.wav,1,"[-420.22247314453125, 93.38459777832031, 16.679752349853516, 26.039554595947266, 6.877137184143066, 11.948073387145996, 3.954265832901001, 3.886556386947632, 0.3834632635116577, 0.5696805119514465, -0.031184276565909386, 1.8164160251617432, 1.2595109939575195]",dog_bark
102842-3-1-6.wav,1,"[-423.9778137207031, 89.32791137695312, 14.725589752197266, 25.422727584838867, 6.795910358428955, 11.734107971191406, 4.785040855407715, 5.204267978668213, 1.8775123357772827, 1.710710883140564, 0.10673341900110245, 2.0858776569366455, 1.816585659980774]",dog_bark
103074-7-0-0.wav,1,"[-208.65586853027344, 133.28265380859375, -41.96352767944336, 47.67710494995117, -19.832937240600586, 10.23563003540039, -9.561506271362305, 13.03647232055664, -10.910489082336426, 12.837261199951172, -6.399814605712891, 2.902387857437134, -5.804489612579346]",jackhammer
103074-7-0-1.wav,1,"[-210.25436401367188, 126.71220397949219, -40.291080474853516, 48.210723876953125, -17.90169906616211, 11.756131172180176, -10.211042404174805, 16.112882614135742, -8.187989234924316, 15.610116958618164, -4.751591682434082, 3.7520198822021484, -5.041858196258545]",jackhammer
103074-7-0-2.wav,1,"[-210.55023193359375, 127.79798126220703, -43.58745193481445, 46.02648162841797, -18.053730010986328, 12.47133731842041, -7.733007907867432, 17.530611038208008, -6.510781764984131, 16.691720962524414, -2.8788390159606934, 3.699174404144287, -5.013952732086182]",jackhammer
103074-7-1-0.wav,1,"[-215.88462829589844, 130.14328002929688, -35.580074310302734, 49.659645080566406, -19.143903732299805, 12.304178237915039, -10.565499305725098, 14.320765495300293, -10.873025894165039, 11.684947967529297, -3.8019487857818604, 3.967059373855591, -6.562593460083008]",jackhammer
103074-7-1-1.wav,1,"[-214.78587341308594, 129.9899444580078, -35.93381118774414, 52.257598876953125, -19.139936447143555, 11.000558853149414, -11.451415061950684, 13.343363761901855, -11.967645645141602, 12.200201034545898, -5.000981330871582, 0.9171848297119141, -5.139766693115234]",jackhammer
103074-7-1-2.wav,1,"[-203.74928283691406, 127.38892364501953, -41.14271926879883, 53.69644546508789, -20.085622787475586, 9.422530174255371, -9.364007949829102, 12.816338539123535, -12.340758323669434, 12.560272216796875, -5.473421096801758, 0.23705793917179108, -5.449131011962891]",jackhammer
103074-7-1-3.wav,1,"[-203.0774383544922, 125.88428497314453, -43.427391052246094, 53.369747161865234, -20.19700050354004, 8.081537246704102, -9.046648979187012, 12.785656929016113, -12.31381607055664, 11.822991371154785, -4.757530689239502, -1.6108025312423706, -8.011001586914062]",jackhammer
103074-7-1-4.wav,1,"[-208.83786010742188, 127.83890533447266, -41.581302642822266, 52.567893981933594, -19.68681526184082, 6.799327850341797, -9.928439140319824, 11.211104393005371, -14.618205070495605, 10.645336151123047, -6.453821182250977, -5.020763397216797, -8.924332618713379]",jackhammer
103074-7-1-5.wav,1,"[-227.68533325195312, 134.35081481933594, -32.785011291503906, 52.54713439941406, -19.011343002319336, 12.12164306640625, -11.68198013305664, 9.868119239807129, -15.767289161682129, 11.156742095947266, -4.729587554931641, -5.581750392913818, -9.387450218200684]",jackhammer
103074-7-1-6.wav,1,"[-261.93927001953125, 146.9842987060547, -29.628799438476562, 51.42471694946289, -18.910648345947266, 13.047114372253418, -7.824920654296875, 9.454805374145508, -11.838746070861816, 10.3201904296875, -1.5306559801101685, -1.7810509204864502, -7.426149368286133]",jackhammer
103074-7-2-0.wav,1,"[-596.5362548828125, 47.90584945678711, -16.747282028198242, 17.582828521728516, -7.552110195159912, 3.0646653175354004, -3.4043617248535156, 2.9086217880249023, -3.5852506160736084, 4.101337909698486, -1.9744380712509155, 1.6619819402694702, -3.281423330307007]",jackhammer
