audio,fold,MFCC,target
103076-3-0-0.wav,8,"[-484.86932373046875, 37.77418518066406, 5.104609966278076, -4.896393775939941, -11.222440719604492, -9.354462623596191, -11.618707656860352, -10.584816932678223, -6.445431232452393, -5.837671279907227, -3.034613847732544, 0.6633262038230896, 2.3615527153015137]",dog_bark
103076-3-1-0.wav,8,"[-496.4454345703125, 20.31599235534668, 0.7932223677635193, -5.245737552642822, -7.664314270019531, -5.783935070037842, -6.100639820098877, -5.316455841064453, -2.9411587715148926, -2.665327787399292, -1.5873483419418335, 0.3971112370491028, 1.3098305463790894]",dog_bark
103076-3-2-0.wav,8,"[-544.2816772460938, 12.067181587219238, 0.857450008392334, -2.381208658218384, -3.8576762676239014, -2.426065444946289, -3.311319589614868, -3.314967632293701, -1.5589241981506348, -1.0943435430526733, -0.4608170986175537, 0.02899574115872383, -0.18500913679599762]",dog_bark
106905-5-0-0.wav,8,"[-176.96771240234375, 170.4119415283203, -78.62681579589844, 25.257585525512695, -23.18299102783203, 7.930934429168701, -3.75471830368042, 4.181474208831787, -20.877155303955078, 0.07310225069522858, 8.175105094909668, 2.788341522216797, -1.1332547664642334]",engine_idling
106905-5-0-1.wav,8,"[-171.1837158203125, 165.34671020507812, -74.96847534179688, 30.434030532836914, -26.191055297851562, 8.630863189697266, -4.225553035736084, 3.123986005783081, -16.598112106323242, -0.2690567672252655, 7.164010047912598, 3.2873499393463135, -5.2170000076293945]",engine_idling
106905-5-0-2.wav,8,"[-170.55099487304688, 172.40121459960938, -72.37403869628906, 26.547157287597656, -27.06678009033203, 9.224150657653809, -1.9231059551239014, 6.941223621368408, -14.818304061889648, -1.5499131679534912, 6.087452411651611, 1.7596324682235718, -4.375583171844482]",engine_idling
107090-1-0-0.wav,8,"[-625.248291015625, 30.790681838989258, -7.034439563751221, -0.656815230846405, 1.6008987426757812, 0.9188161492347717, -2.3888492584228516, -0.7644129395484924, 0.6271206140518188, -1.4912163019180298, -1.5542175769805908, 0.022495564073324203, -1.1887755393981934]",car_horn
107090-1-1-0.wav,8,"[-576.613525390625, 43.93894577026367, -10.45703411102295, -2.4677791595458984, 1.7926853895187378, -0.6540258526802063, -3.8260140419006348, -1.5825722217559814, 1.252507209777832, -2.292174816131592, -3.5656285285949707, -0.5419906973838806, -1.0600264072418213]",car_horn
107190-3-0-0.wav,8,"[-535.0908203125, 34.20144271850586, 6.2747883796691895, 3.159560441970825, -5.297173023223877, 1.0573952198028564, 2.9454972743988037, -0.2638089060783386, -4.535491466522217, 2.026956558227539, -0.09755896776914597, -1.8816370964050293, 0.5860446691513062]",dog_bark
110134-3-0-0.wav,8,"[-484.38189697265625, 44.10624313354492, -6.46750545501709, -17.495805740356445, -9.982560157775879, 2.0622146129608154, -5.1448283195495605, -1.9834648370742798, 2.088592290878296, 1.5818341970443726, 3.299226999282837, -4.469622611999512, -3.0088882446289062]",dog_bark
110688-3-0-11.wav,8,"[-391.5071105957031, 179.04917907714844, -17.45247459411621, 20.061574935913086, -9.479516983032227, 4.061132907867432, 2.533859968185425, -0.3923155963420868, 12.759271621704102, 10.093378067016602, 2.6852378845214844, 9.805201530456543, 6.604772567749023]",dog_bark
110688-3-0-17.wav,8,"[-408.5251770019531, 187.8555908203125, -9.477762222290039, 8.010509490966797, -9.188189506530762, 5.995904922485352, 10.723017692565918, -2.440835952758789, 5.969143390655518, 12.898550987243652, 3.6396358013153076, 9.029448509216309, 3.1631553173065186]",dog_bark
110688-3-0-2.wav,8,"[-465.2953796386719, 184.66592407226562, -11.179577827453613, 10.078569412231445, -2.6015093326568604, 4.060418605804443, 11.25629997253418, 1.1011441946029663, 6.146925449371338, 11.733139991760254, 4.66405725479126, 12.255119323730469, 7.215185642242432]",dog_bark
110688-3-0-32.wav,8,"[-363.0122985839844, 200.08139038085938, -21.748981475830078, 19.441442489624023, -3.2037782669067383, 9.348575592041016, 10.692277908325195, 4.998363018035889, 10.628636360168457, 9.94241714477539, 10.972835540771484, 11.015423774719238, 3.6276912689208984]",dog_bark
113202-5-0-0.wav,8,"[-356.0223388671875, 179.38381958007812, 14.763919830322266, 44.845863342285156, -1.8037446737289429, 23.579673767089844, 4.906459331512451, 23.58487319946289, 7.983819961547852, 13.981351852416992, 8.56595230102539, 5.931290626525879, 1.094746470451355]",engine_idling
113202-5-0-1.wav,8,"[-355.3359375, 179.35548400878906, 14.888955116271973, 44.58875274658203, -2.1334457397460938, 23.40462875366211, 4.95830774307251, 23.169357299804688, 7.9657111167907715, 13.902584075927734, 8.721600532531738, 6.254422664642334, 1.0535998344421387]",engine_idling
113202-5-0-10.wav,8,"[-355.5411376953125, 179.45425415039062, 14.925005912780762, 44.612693786621094, -2.0978477001190186, 23.335851669311523, 4.93462610244751, 23.196792602539062, 8.014066696166992, 13.947738647460938, 8.661576271057129, 6.232090473175049, 1.0521162748336792]",engine_idling
113202-5-0-11.wav,8,"[-355.3251037597656, 179.1754913330078, 14.883002281188965, 44.87557601928711, -2.001037120819092, 23.455894470214844, 5.067805290222168, 23.294645309448242, 8.120207786560059, 13.949579238891602, 8.50023365020752, 6.140617370605469, 1.0582770109176636]",engine_idling
113202-5-0-12.wav,8,"[-355.8902282714844, 179.35096740722656, 14.765174865722656, 44.80104064941406, -1.8219444751739502, 23.539743423461914, 4.88221549987793, 23.514904022216797, 7.953791618347168, 13.936260223388672, 8.556397438049316, 5.910585880279541, 1.125585913658142]",engine_idling
113202-5-0-13.wav,8,"[-355.2578125, 179.38392639160156, 14.859748840332031, 44.57857894897461, -2.0749528408050537, 23.33140754699707, 4.9615068435668945, 23.182722091674805, 8.013923645019531, 13.928763389587402, 8.64935302734375, 6.243226528167725, 1.0738580226898193]",engine_idling
113202-5-0-14.wav,8,"[-355.95050048828125, 179.51271057128906, 14.869728088378906, 45.06196594238281, -2.1417644023895264, 23.548551559448242, 5.022756099700928, 23.41275405883789, 8.109374046325684, 14.035185813903809, 8.528310775756836, 6.21496057510376, 1.0298951864242554]",engine_idling
113202-5-0-15.wav,8,"[-356.0015563964844, 179.38560485839844, 14.832925796508789, 44.88673400878906, -1.8606739044189453, 23.609682083129883, 4.901777744293213, 23.570409774780273, 7.943021297454834, 13.94225788116455, 8.559865951538086, 5.916438102722168, 1.1477526426315308]",engine_idling
113202-5-0-16.wav,8,"[-355.72821044921875, 179.576904296875, 14.930084228515625, 44.62506103515625, -2.0783469676971436, 23.361604690551758, 4.97072172164917, 23.227651596069336, 8.039340019226074, 13.931084632873535, 8.636903762817383, 6.213354110717773, 1.0819323062896729]",engine_idling
